Name,URL,Useful resources for cataloguing
ArCo,http://wit.istc.cnr.it/arco,
ARIADNE,https://www.ariadne-research-infrastructure.eu/,
Corago LOD,http://coragolod1.ing.unibo.it:8080/corago/,
Cultura Italia,https://www.culturaitalia.it/,
MACODI Esplorazione semantica della «macchina narrativa combinatoria» de Il castello dei destini incrociati di Italo Calvino,https://projects.dharc.unibo.it/odi/,https://odi-documentation.github.io/materials/ https://cris.unibo.it/retrieve/e7b523e3-9032-4a8f-82d3-ad81482c8531/ODI_and_BACODI.pdf
mythLOD,https://dharc-org.github.io/mythlod/index.html,
